iter	RMSE
0	38.86780907
1	38.8641314
2	38.86101517
3	38.85815393
4	38.85627422
5	38.85421656
6	38.85251825
7	38.850907
8	38.8497115
9	38.84845309
10	38.84739768
11	38.84654562
12	38.84544943
13	38.84438254
14	38.84335806
15	38.84267546
16	38.84178534
17	38.84114064
18	38.84049115
19	38.83986589
20	38.83920515
21	38.83884417
22	38.83822638
23	38.83739411
24	38.83670831
25	38.83601753
26	38.83548771
27	38.83490041
28	38.83439187
29	38.83379282
30	38.83332068
31	38.83268244
32	38.83207123
33	38.83149295
34	38.83079671
35	38.83055478
36	38.83002323
37	38.82959192
38	38.8291302
39	38.82869025
40	38.82800612
41	38.82752898
42	38.82721135
43	38.82654652
44	38.82611333
45	38.82556103
46	38.82520929
47	38.82477839
48	38.82445977
49	38.82400637
50	38.82356912
51	38.82339961
52	38.82299164
53	38.82253616
54	38.82219957
55	38.82166519
56	38.82117849
57	38.82067755
58	38.82033943
59	38.81989676
60	38.81956099
61	38.81900618
62	38.81851126
63	38.81817245
64	38.81783611
65	38.81741341
66	38.81682999
67	38.81629465
68	38.81583154
69	38.81538372
70	38.81502712
71	38.8146365
72	38.81428734
73	38.81385945
74	38.81351341
75	38.81299843
76	38.81280379
77	38.81249731
78	38.81217419
79	38.81184341
80	38.8113414
81	38.81096541
82	38.81068803
83	38.8101241
84	38.80956318
85	38.80908285
86	38.80853413
87	38.80821924
88	38.80777358
89	38.80747141
90	38.80687764
91	38.80631775
92	38.80579431
93	38.80535088
94	38.80489591
95	38.80453192
96	38.80411028
97	38.80349038
98	38.80311191
99	38.80268142
100	38.80221681
101	38.80175485
102	38.80149071
103	38.80114368
104	38.80086622
105	38.80040405
106	38.80007998
107	38.79974974
108	38.79956501
109	38.7995618
110	38.79899382
111	38.79862211
112	38.79812863
113	38.79770826
114	38.79724171
115	38.79678016
116	38.79631105
117	38.79587333
118	38.79551591
119	38.79529235
120	38.79487589
121	38.79462248
122	38.79424187
123	38.79398207
124	38.79350631
125	38.79298272
126	38.7925019
127	38.79206841
128	38.79181452
129	38.79130443
130	38.79090117
131	38.79052817
132	38.79000263
133	38.78969833
134	38.78936198
135	38.78893522
136	38.78830576
137	38.78776437
138	38.78735456
139	38.7870355
140	38.78660256
141	38.7860151
142	38.78559482
143	38.78521063
144	38.7848398
145	38.78444465
146	38.78387587
147	38.78361649
148	38.78334386
149	38.78290209
150	38.7826871
151	38.78220641
152	38.78163537
153	38.78130972
154	38.78083762
155	38.78034729
156	38.77990792
157	38.77939515
158	38.77903866
159	38.77866247
160	38.77821835
161	38.77783596
162	38.77737803
163	38.77690577
164	38.77658679
165	38.77603057
166	38.77552531
167	38.77494834
168	38.77452029
169	38.77426535
170	38.77391162
171	38.77344839
172	38.77311701
173	38.77275188
174	38.7723287
175	38.7718354
176	38.77137759
177	38.77104652
178	38.77078233
179	38.77034138
180	38.76993336
181	38.76943102
182	38.76902894
183	38.76865399
184	38.76819225
185	38.76781241
186	38.76734907
187	38.76694143
188	38.7663637
189	38.76590822
190	38.76548659
191	38.76511695
192	38.76468684
193	38.7644102
194	38.76390086
195	38.76355338
196	38.76320818
197	38.76284911
198	38.76239457
199	38.76197114
200	38.76166008
201	38.76116559
202	38.76064794
203	38.76024072
204	38.7598884
205	38.7595277
206	38.75916023
207	38.75877851
208	38.75850323
209	38.75806385
210	38.75771246
211	38.75724493
212	38.75681496
213	38.75632228
214	38.75591307
215	38.75552773
216	38.7551042
217	38.75476184
218	38.75422326
219	38.75380313
220	38.75349108
221	38.7530536
222	38.75249241
223	38.75215131
224	38.75183127
225	38.75141066
226	38.75096429
227	38.75054725
228	38.75019865
229	38.74977144
230	38.74932933
231	38.74894754
232	38.74861523
233	38.74822486
234	38.74780499
235	38.74746528
236	38.74706611
237	38.74673739
238	38.74622905
239	38.74597663
240	38.74555801
241	38.74516263
242	38.74479619
243	38.74440976
244	38.74393756
245	38.74355382
246	38.74324333
247	38.7429507
248	38.74252384
249	38.74216588
250	38.74188929
251	38.74158471
252	38.74110482
253	38.74066836
254	38.74023866
255	38.7398763
256	38.73953508
257	38.73917059
258	38.73882848
259	38.73832409
260	38.73802892
261	38.73767633
262	38.73721593
263	38.73678358
264	38.73637537
265	38.73591094
266	38.73552393
267	38.73506957
268	38.73465269
269	38.73426033
270	38.73381247
271	38.73344077
272	38.73318195
273	38.73281871
274	38.73237521
275	38.73205355
276	38.73162819
277	38.73127934
278	38.73087571
279	38.7305472
280	38.73020092
281	38.7299471
282	38.72958953
283	38.72921524
284	38.72893542
285	38.72858216
286	38.72822128
287	38.72779175
288	38.72739572
289	38.72704705
290	38.72667615
291	38.72633403
292	38.7259348
293	38.72555025
294	38.72518326
295	38.72476939
296	38.7243253
297	38.72394523
298	38.72354618
299	38.72313221
300	38.72282496
301	38.72245254
302	38.72202873
303	38.72160543
304	38.72126087
305	38.7209051
306	38.72059497
307	38.72020595
308	38.71984856
309	38.71937768
310	38.71905367
311	38.71876158
312	38.71840683
313	38.71800809
314	38.71770438
315	38.71740226
316	38.7170652
317	38.71674454
318	38.71632121
319	38.71590016
320	38.71552973
321	38.71514477
322	38.71477124
323	38.71439498
324	38.71403017
325	38.71361766
326	38.71329304
327	38.71307154
328	38.71266953
329	38.7122989
330	38.71197873
331	38.71159846
332	38.71120246
333	38.71093495
334	38.71056748
335	38.71030017
336	38.70989072
337	38.70962674
338	38.70932593
339	38.70902313
340	38.70866567
341	38.70824456
342	38.7078438
343	38.70736461
344	38.70712584
345	38.70677263
346	38.70648955
347	38.70610291
348	38.70562474
349	38.70531691
350	38.70484344
351	38.7045158
352	38.70417354
353	38.70379075
354	38.70347595
355	38.70306254
356	38.70260246
357	38.70220675
358	38.7018229
359	38.70149794
360	38.70119183
361	38.70082416
362	38.70053621
363	38.70015875
364	38.69977999
365	38.69935959
366	38.69894333
367	38.69863034
368	38.69823817
369	38.69774543
370	38.69747369
371	38.69709139
372	38.6966865
373	38.69629981
374	38.6959682
375	38.69564025
376	38.69529786
377	38.69505841
378	38.69478088
379	38.69447625
380	38.69418194
381	38.69389551
382	38.69357778
383	38.69315668
384	38.6928739
385	38.69257459
386	38.69212028
387	38.69171322
388	38.69134801
389	38.69107187
390	38.69063386
391	38.69019639
392	38.68982552
393	38.68937709
394	38.68908041
395	38.68863292
396	38.68831344
397	38.68788343
398	38.68762761
399	38.68737592
400	38.68702368
401	38.6867545
402	38.68642013
403	38.6860181
404	38.68560586
405	38.68531317
406	38.68482193
407	38.68448341
408	38.68403898
409	38.68374496
410	38.68337136
411	38.68303532
412	38.6826358
413	38.68222201
414	38.6818682
415	38.68159342
416	38.6812924
417	38.68095211
418	38.68066148
419	38.68027953
420	38.67996405
421	38.67977837
422	38.67945819
423	38.67914711
424	38.67877291
425	38.67839112
426	38.6779706
427	38.67761876
428	38.67732122
429	38.67701302
430	38.67652819
431	38.67613924
432	38.67589276
433	38.675666
434	38.67524457
435	38.67492606
436	38.67458048
437	38.67410959
438	38.67369002
439	38.67341929
440	38.6730271
441	38.67269527
442	38.67242033
443	38.67207235
444	38.67178264
445	38.67145433
446	38.67114667
447	38.67093924
448	38.67059667
449	38.67021332
450	38.66983092
451	38.66951224
452	38.66912967
453	38.66877831
454	38.66848104
455	38.66817032
456	38.66787468
457	38.6675225
458	38.66716147
459	38.66693973
460	38.66642193
461	38.66609353
462	38.66578424
463	38.66542156
464	38.6649053
465	38.66457063
466	38.66416777
467	38.66384193
468	38.66349618
469	38.66306699
470	38.6626508
471	38.66230138
472	38.66201841
473	38.66163125
474	38.66134408
475	38.66103163
476	38.66074062
477	38.66043735
478	38.66004626
479	38.65964991
480	38.65937494
481	38.65908062
482	38.65878244
483	38.65844286
484	38.6581586
485	38.65781977
486	38.6575918
487	38.65722945
488	38.65694218
489	38.65656396
490	38.65631127
491	38.65595341
492	38.65568551
493	38.6552398
494	38.65486193
495	38.65461407
496	38.65428346
497	38.65392087
498	38.65359287
499	38.653397
500	38.65310547
501	38.65280077
502	38.65238269
503	38.65200498
504	38.65168672
505	38.65126913
506	38.65095637
507	38.65066157
508	38.65036265
509	38.650065
510	38.64974949
511	38.64947215
512	38.64916223
513	38.64879624
514	38.64850268
515	38.64828029
516	38.64787596
517	38.64754341
518	38.64726779
519	38.6468822
520	38.64639276
521	38.64601004
522	38.64571295
523	38.6453115
524	38.64500545
525	38.64461068
526	38.64423772
527	38.64395403
528	38.64367662
529	38.64330854
530	38.64297063
531	38.64265053
532	38.64231579
533	38.64199733
534	38.6416678
535	38.64130523
536	38.64096169
537	38.64065021
538	38.64022783
539	38.63986968
540	38.63957472
541	38.63915713
542	38.63883012
543	38.63853239
544	38.6381147
545	38.63779605
546	38.63744045
547	38.63713786
548	38.63678945
549	38.63653904
550	38.63611353
551	38.63576088
552	38.63544116
553	38.63510794
554	38.63481191
555	38.63439327
556	38.63401789
557	38.63372887
558	38.6333838
559	38.63310555
560	38.63271062
561	38.63239804
562	38.63198956
563	38.63166356
564	38.63130499
565	38.63090199
566	38.63053431
567	38.63019024
568	38.62987396
569	38.62949574
570	38.62922608
571	38.62886377
572	38.62858842
573	38.62830607
574	38.62795367
575	38.62765584
576	38.62731551
577	38.62697104
578	38.62665347
579	38.62628449
580	38.62600327
581	38.62563645
582	38.62535266
583	38.62508159
584	38.62477325
585	38.6244552
586	38.62408744
587	38.62365013
588	38.62340355
