iter	Passed	Remaining
0	232	232257
1	288	144048
2	345	114671
3	400	99750
4	450	89660
5	505	83674
6	554	78685
7	606	75248
8	660	72725
9	714	70691
10	779	70123
11	843	69409
12	923	70118
13	992	69912
14	1151	75622
15	1260	77524
16	1343	77713
17	1428	77923
18	1515	78222
19	1600	78412
20	1685	78575
21	1781	79175
22	1868	79378
23	1948	79251
24	2018	78708
25	2090	78300
26	2159	77829
27	2222	77161
28	2291	76726
29	2362	76394
30	2423	75752
31	2488	75264
32	2558	74968
33	2617	74379
34	2700	74461
35	2764	74027
36	2834	73760
37	2896	73338
38	2984	73543
39	3059	73422
40	3131	73251
41	3206	73144
42	3274	72880
43	3347	72731
44	3425	72702
45	3491	72419
46	3560	72187
47	3632	72041
48	3711	72033
49	3780	71835
50	3844	71531
51	3888	70891
52	3960	70771
53	4028	70571
54	4090	70273
55	4158	70103
56	4224	69883
57	4290	69677
58	4359	69522
59	4425	69338
60	4492	69149
61	4555	68926
62	4615	68645
63	4691	68612
64	4760	68482
65	4822	68249
66	4896	68184
67	4959	67967
68	5024	67792
69	5102	67788
70	5173	67695
71	5237	67502
72	5303	67350
73	5374	67255
74	5438	67078
75	5506	66944
76	5572	66794
77	5641	66684
78	5717	66656
79	5785	66528
80	5846	66330
81	5916	66231
82	5986	66141
83	6050	65982
84	6110	65779
85	6170	65577
86	6230	65388
87	6293	65224
88	6357	65079
89	6421	64926
90	6495	64883
91	6566	64807
92	6636	64725
93	6716	64740
94	6781	64603
95	6851	64514
96	6918	64401
97	6976	64216
98	7039	64067
99	7094	63854
100	7156	63699
101	7225	63613
102	7283	63431
103	7341	63249
104	7411	63171
105	7466	62974
106	7524	62797
107	7583	62635
108	7639	62445
109	7672	62077
110	7732	61932
111	7789	61763
112	7860	61698
113	7947	61768
114	8024	61755
115	8095	61690
116	8161	61594
117	8235	61554
118	8309	61516
119	8387	61511
120	8460	61463
121	8536	61433
122	8599	61314
123	8658	61165
124	8727	61089
125	8790	60975
126	8844	60798
127	8920	60771
128	8974	60595
129	9032	60449
130	9097	60347
131	9154	60199
132	9218	60090
133	9276	59952
134	9347	59891
135	9416	59823
136	9476	59693
137	9535	59560
